id	text	categoria	secondary_cat
1	 A man should never admit when others hurt his feelings.	RE	
2	 Men should not be too quick to tell others that they care about them.	RE	
3	 Men should be detached in emotionally charged situations.	RE	
4	 A man should not react when other people cry.	RE	
5	One should not be able to tell how a man is feeling by looking at his face.	RE	
6	 Fathers should teach their sons to mask fear.	RE	
7	 Being a little down in the dumps is not a good reason for a man to act depressed.	RE	
8	 A man should avoid holding his wife's purse at all times.	RE	
9	 Men should not borrow money from friends or family members.	RE	
10	 I might find it a little silly or embarrassing if a male friend of mine cried over a sad love story.	RE	AF
11	 A man should not continue a friendship with another man if he finds out that the other man is homosexual. 	RE	NTSM
12	 A man shouldn't bother with sex unless he can achieve orgasm.	RE	
13	 Men should have home improvement skills.	SRTMS	
14	 Men should be able to fix most things around the house.	SRTMS	
15	 A man should know how to repair his car if it should break down.	SRTMS	
16	 All homosexual bars should be closed down.	NTSM	
17	 Homosexuals should never kiss in public.	NTSM	
18	 Homosexuals should never marry.	NTSM	
19	 Homosexuals should be barred from the teaching profession.	NTSM	
20	 Homosexuals should not be allowed to serve in the military.	NTSM	
21	 It is disappointing to learn that a famous athlete is gay.	NTSM	
22	 Men should never compliment or flirt with another male.	NTSM	
23	 Men should never hold hands or show affection toward another.	NTSM	
24	 A man should not continue a friendship with another man if he finds out that the other man is homosexual. 	NTSM	RE
25	 Boys should play with action figures not dolls.	AF	
26	 Men should watch football games instead of soap operas.	AF	
27	 Boys should prefer to play with trucks rather than dolls.	AF	
28	 A man should prefer watching action movies to reading romantic novels.	AF	
29	 Men should not wear make-up, cover-up, or bronzer.	AF	
30	 Boys should not throw baseballs like girls.	AF	
31	 Men should not be interested in talk shows such as "Oprah."	AF	
32	 Men should excel at contact sports.	AF	
33	 I might find it a little silly or embarrassing if a male friend of mine cried over a sad love story. 	AF	RE
34	 A man should always be ready for sex.	IOS	
35	 A man should not turn down sex.	IOS	
36	 Men should always like to have sex.	IOS	
37	 It is ok for a man to use any and all means to "convince" a woman to have sex.	IOS	RE
38	 When the going gets tough, men should get tough.	T	
39	 I think a young man should try to be physically tough, even if he's not big.	T	
40	 Men should get up to investigate if there is a strange noise in the house at night.	T	
41	 It is important for a man to take risks, even if he might get hurt.	T	
42	 A man must be able to make his own way in the world.	T	
43	 Men should be the leader in any group.	D	
44	 A man should always be the boss.	D	
45	 Men should make the final decision involving money.	D	
46	 The President of the U.S. should always be a man.	D	
47	 A man should provide the discipline in the family.	D	
48	 A man should always be the major provider in his family.	D	
49	 In a group, it is up to the men to get things organized and moving ahead.	D	
